"Species","Common","IUIS Allergen","Type","Group*","Length","GI#@","First Version"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0301","Aero Plant","Ambrosia Amb a 1","397","113477","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0401","Aero Plant","Ambrosia Amb a 1","392","113478","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0303","Aero Plant","Ambrosia Amb a 1","397","166443","7"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 1","396","302127810","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0202","Aero Plant","Ambrosia Amb a 1","398","302127812","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0304","Aero Plant","Ambrosia Amb a 1","397","302127814","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0305","Aero Plant","Ambrosia Amb a 1","397","302127816","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 1","397","302127818","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 1","397","302127820","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 1","397","302127822","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0402","Aero Plant","Ambrosia Amb a 1","387","302127824","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 1","397","302127826","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0502","Aero Plant","Ambrosia Amb a 1","397","302127828","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 10.0101","Aero Plant","Ambrosia Amb a 10","160","62249491","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 2","Aero Plant","Ambrosia Amb a 2","397","113479","7"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","164","285005079","11"
"Ambrosia artemisiifolia","Short ragweed","Amb a 4.0101","Aero Plant","Ambrosia Amb a 4","164","291197394","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","111","291482306","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","140","291482308","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","134","291482310","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","96","291482314","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","110","291482316","12"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 4","116","291482318","12"
"Ambrosia artemisiifolia","Short ragweed","Amb a 6","Aero Plant","Ambrosia Amb a 6","118","14285595","7"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 8 profilin","133","34851182","7"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 8 profilin","131","34851180","7"
"Ambrosia artemisiifolia","Short ragweed","Unassigned","Aero Plant","Ambrosia Amb a 8 profilin","131","34851178","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 8.0101","Aero Plant","Ambrosia Amb a 8 profilin","133","62249502","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 8.0102","Aero Plant","Ambrosia Amb a 8 profilin","133","62249512","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 9.0101","Aero Plant","Ambrosia Amb a 9","83","62249470","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 9.0102","Aero Plant","Ambrosia Amb a 9","83","62249481","7"
"Ambrosia artemisiifolia (elatior)","Short ragweed","Amb a 3","Aero Plant","Ambrosia Amb a 3","101","416636","7"
"Ambrosia artemisiifolia (elatior)","Short ragweed","Amb a 5","Aero Plant","Ambrosia Amb a 5 Ra5","45","114090","7"
"Ambrosia psilostachya","Western ragweed","Amb p 5.0101","Aero Plant","Ambrosia Amb a 5 Ra5","77","515953","7"
"Ambrosia psilostachya","Western ragweed","Unassigned","Aero Plant","Ambrosia Amb a 5 Ra5","77","515954","7"
"Ambrosia psilostachya","Western ragweed","Amb p 5.0201","Aero Plant","Ambrosia Amb a 5 Ra5","77","515955","7"
"Ambrosia psilostachya","Western ragweed","Unassigned","Aero Plant","Ambrosia Amb a 5 Ra5","77","515956","7"
"Ambrosia psilostachya","Western ragweed","Unassigned","Aero Plant","Ambrosia Amb a 5 Ra5","77","515957","7"
"Ambrosia trifida","Giant ragweed","Amb t 5","Aero Plant","Ambrosia Amb t 5 Ra5G","73","114091","7"
"Amphioctopus fangsiao","Octopus","Unassigned","Food Animal","Amphioctopus arginine kinase","348","340742817","12"
"Anacardium occidentale","Cashew","Ana 0 1.0102","Food Plant","Anacardium Ana o 1","536","21666498","7"
"Anacardium occidentale","Cashew","Ana 0 1.0101","Food Plant","Anacardium Ana o 1","538","21914823","7"
"Anacardium occidentale","Cashew","Ana o 2","Food Plant","Anacardium Ana o 2","457","25991543","7"
"Anacardium occidentale","Cashew","Ana o 3","Food Plant","Anacardium Ana o 3","138","24473800","7"
"Ananas comosus","Pineapple","Ana c 2.0101","Aero Plant","Ananas Ana c 2 Bromelain precursor","351","75277440","7"
"Ananas comosus","Pineapple","Ana c 1.0101","Food Plant","Ananas profilin Ana c 1","131","75306610","10"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","264","442577845","14"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","264","442577847","14"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","264","442577849","14"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 2 paramyosin","869","442577833","14"
"Anisakis simplex","Parasitic fish worm","Ani s 1","Food Animal","Anisakis Ani s 1 protease inhibitor","194","47605452","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 1 protease inhibitor","163","442577863","14"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 1 protease inhibitor","163","442577865","14"
"Anisakis simplex","Parasitic fish worm","Ani s 10.0101","Food Animal","Anisakis Ani s 10","231","272574378","11"
"Anisakis simplex","Parasitic fish worm","Ani s 11.0101","Food Animal","Anisakis Ani s 11","307","323575361","12"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 11","160","323575363","12"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 11","287","323575365","12"
"Anisakis simplex","Parasitic fish worm","Ani s 12.0101","Food Animal","Anisakis Ani s 12","295","323575367","12"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","264","442577851","14"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","264","442577853","14"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","264","442577855","14"
"Anisakis simplex","Parasitic fish worm","Ani s 2","Food Animal","Anisakis Ani s 2 paramyosin","473","8453086","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 2 paramyosin","869","42559536","9"
"Anisakis simplex","Parasitic fish worm","Ani s 3","Food Animal","Anisakis Ani s 3 tropomyosin","284","14423976","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 3 tropomyosin","284","350285785","13"
"Anisakis simplex","Parasitic fish worm","Ani s 4","Food Animal","Anisakis Ani s 4","14","47605398","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 4","115","110346534","8"
"Anisakis simplex","Parasitic fish worm","Ani s 5.0101","Food Animal","Anisakis Ani s 5 SXP/RAL-2 family protein","152","121308878","8"
"Anisakis simplex","Parasitic fish worm","Ani s 7.0101","Food Animal","Anisakis Ani s 7 UA3-recognized allergen","1096","119524036","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676636","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676682","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676684","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676686","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676688","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676690","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676692","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676694","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676696","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","150","155676698","9"
"Anisakis simplex","Parasitic fish worm","Ani s 9.0101","Food Animal","Anisakis Ani s 9","147","157418806","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis simplex troponin-like","161","6065738","7"
"Anthoxanthum odoratum","Sweet vernal grass","Unassigned","Aero Plant","Anthoxanthum Ant o 1","26","320607","7"
"Anthoxanthum odoratum","Sweet vernal grass","Ant o 1.0101","Aero Plant","Anthoxanthum Ant o 1","32","75139986","7"
"Anthoxanthum odoratum","Sweet vernal grass","Unassigned","Aero Plant","Anthoxanthum Ant o 1","32","75139990","7"
"Apis cerana","Indian honeybee","Unassigned","Venom or Salivary","Apis Api m 1 Api d 1 Api c 1","134","7435005","7"
"Apis cerana cerana","Indian honeybee","Api c 1.0101","Venom or Salivary","Apis Api m 1 Api d 1 Api c 1","134","12958583","15"
"Apis dorsata","Giant honeybee","Api d 1.0101","Venom or Salivary","Apis Api m 1 Api d 1 Api c 1","134","47117012","7"
"Apis dorsata","Giant honeybee","Unassigned","Venom or Salivary","Apis Api m 4 Melittin","26","126955","7"
"Apis mellifera","Honeybee","Api m 1","Venom or Salivary","Apis Api m 1 Api d 1 Api c 1","167","24418862","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 10 icarapin","223","94471622","7"
"Apis mellifera","Honeybee","Api m 10.0101","Venom or Salivary","Apis Api m 10 icarapin","175","94471624","7"
"Apis mellifera","Honeybee","Api m 2","Venom or Salivary","Apis Api m 2","382","585279","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 3 acid phosphatase","388","208342441","10"
"Apis mellifera","Honeybee","Api m 3.0101","Venom or Salivary","Apis Api m 3 acid phosphatase","388","74835477","12"
"Apis mellifera","Honeybee","Api m 4.0101","Venom or Salivary","Apis Api m 4 Melittin","70","5622","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 4 Melittin","27","69552","7"
"Apis mellifera","Honeybee","Api m 5.0101","Venom or Salivary","Apis Api m 5 dipeptidylpeptidase","775","187281543","15"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 6","92","94400907","7"
"Apis mellifera","Honeybee","Unassigned","Venom or Salivary","Apis Api m 6","94","88770352","10"
"Apis mellifera","Honeybee","Api m 11.0101","Venom or Salivary","Apis mellifera	 Api m 11","416","58585070","15"
"Apis mellifera","Honeybee","Api m 11.0201","Venom or Salivary","Apis mellifera	 Api m 11","423","62910925","15"
"Apis mellifera","Honeybee","Api m 12.0101","Venom or Salivary","Apis mellifera Api m 12","1770","29329817","15"
"Apis mellifera carnica","Honeybee","Unassigned","Venom or Salivary","Apis Api m 10 icarapin","12","594708629","16"
"Apis mellifera carnica","Honeybee","Unassigned","Venom or Salivary","Apis Api m 10 icarapin","19","594708627","16"
"Apis mellifera carnica","Honeybee","Unassigned","Venom or Salivary","Apis Api m 10 icarapin","25","594708625","16"
"Apis mellifera carnica","Honeybee","Unassigned","Venom or Salivary","Apis Api m 10 icarapin","41","594708623","16"
"Apium graveolens","Celery","Api g 1.0101","Food Plant","Apium Api g 1","154","1346568","7"
"Apium graveolens","Celery","Api g 1.0201","Food Plant","Apium Api g 1","159","14423646","9"
"Apium graveolens","Celery","Api g 2.0101","Food Plant","Apium Api g 2","118","256600126","12"
"Apium graveolens","Celery","Api g 4","Food Plant","Apium Api g 4","134","4761578","7"
"Apium graveolens","Celery","Api g 5.0101","Food Plant","Apium Api g 5","86","33300920","10"
"Apium graveolens Rapaceum Group","Celery","Api g 6.0101","Food Plant","Apium graveolens Api g 6  LTP 2","67","550540827","15"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Agglutinin (lectin)","273","253289","7"
"Arachis hypogaea","Peanut","Ara h 1","Food Plant","Arachis Ara h 1","614","1168390","7"
"Arachis hypogaea","Peanut","Ara h 1","Food Plant","Arachis Ara h 1","626","1168391","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","299","46560474","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","303","46560472","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","428","46560476","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","619","312233063","12"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","418","375332427","13"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","418","347447588","13"
"Arachis hypogaea","Peanut","Ara h 2.0201","Food Plant","Arachis Ara h 2","172","26245447","7"
"Arachis hypogaea","Peanut","Ara h 2.0101","Food Plant","Arachis Ara h 2","169","31322017","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 2","156","15418705","10"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 2","158","224747150","10"
"Arachis hypogaea","Peanut","Ara h 3.0101","Food Plant","Arachis Ara h 3 Glycinin","507","3703107","7"
"Arachis hypogaea","Peanut","Ara h 3.0201","Food Plant","Arachis Ara h 3 Glycinin","530","5712199","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","538","21314465","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","219","22135348","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","512","112380623","8"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","530","199732457","10"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","510","224036293","10"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","512","312233065","12"
"Arachis hypogaea","Peanut","Ara h 5","Food Plant","Arachis Ara h 5","131","5902968","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 5","131","284810529","11"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 5","131","431812555","14"
"Arachis hypogaea","Peanut","Ara h 6","Food Plant","Arachis Ara h 6","129","5923742","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 6","144","17225991","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 6","127","159163254","9"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 6","145","75114094","10"
"Arachis hypogaea","Peanut","Ara h 7.0101","Food Plant","Arachis Ara h 7","160","5931948","7"
"Arachis hypogaea","Peanut","Ara h 7.0201","Food Plant","Arachis Ara h 7","164","158121995","10"
"Arachis hypogaea","Peanut","Ara h 8.0101","Food Plant","Arachis Ara h 8","157","37499626","7"
"Arachis hypogaea","Peanut","Ara h 8.0201","Food Plant","Arachis Ara h 8","153","145904610","9"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 8","157","169786740","9"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 8","157","110676574","12"
"Arachis hypogaea","Peanut","Ara h 9.0101","Food Plant","Arachis Ara h 9  LTP isoallergens","116","161087230","10"
"Arachis hypogaea","Peanut","Ara h 9.0201","Food Plant","Arachis Ara h 9  LTP isoallergens","92","161610580","10"
"Arachis hypogaea","Peanut","Ara h 10.0101","Food Plant","Arachis hypogaea Ara h 10","169","113200509","15"
"Arachis hypogaea","Peanut","Ara h 10.0102","Food Plant","Arachis hypogaea Ara h 10","150","52001239","15"
"Arachis hypogaea","Peanut","Ara h 11.0101","Food Plant","Arachis hypogaea Ara h 11","137","71040655","15"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis hypogaea Ara h 11","137","122218540","16"
"Argas reflexus","European pigeon tick","Arg r 1","Venom or Salivary","Argas Arg r 1","159","58371884","7"
"Argas reflexus","European pigeon tick","Unassigned","Venom or Salivary","Argas Arg r 1","144","322812205","12"
"Artemisia vulgaris","Mugwort","Art v 1","Aero Plant","Artemisia Art v 1","132","27818335","7"
"Artemisia vulgaris","Mugwort","Art v 2.0101","Aero Plant","Artemisia Art v 2","162","148887203","9"
"Artemisia vulgaris","Mugwort","Art v 3.0101","Aero Plant","Artemisia Art v 3","37","73621307","7"
"Artemisia vulgaris","Mugwort","Art v 3.0201","Aero Plant","Artemisia Art v 3","114","189544578","11"
"Artemisia vulgaris","Mugwort","Art v 3.0202","Aero Plant","Artemisia Art v 3","116","189544584","11"
"Artemisia vulgaris","Mugwort","Art v 3.0301","Aero Plant","Artemisia Art v 3","117","189544590","11"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 3","117","189544595","11"
"Artemisia vulgaris","Mugwort","Art v 4.0101","Aero Plant","Artemisia Art v 4","133","25955969","15"
"Artemisia vulgaris","Mugwort","Art v 4.0201","Aero Plant","Artemisia Art v 4","133","25955971","15"
"Artemisia vulgaris","Mugwort","Art v 6.0101","Aero Plant","Artemisia Art v 6 pectate lyase","396","62530263","8"
"Artemisia vulgaris","Mugwort","Art v 5.0101","Aero Plant","Artemisia mugwort Art v 5","82","62530265","15"
"Arthroderma benhamiae","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 4","726","23894232","7"
"Arthroderma benhamiae","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri r 2","292","23894240","7"
"Arthroderma benhamiae","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri r 2","404","23894244","7"
"Arthroderma vanbreuseghemii","Fungus","Unassigned","Contact","Trichophyton (Arthroderma) Tri m 4","726","219687753","10"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","134","2735096","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","134","2735098","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","133","2735102","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","133","2735106","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","267","2735108","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","267","2735110","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","267","2735112","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","134","2735114","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","134","2735118","7"
"Ascaris lumbricoides","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","134","2735100","7"
"Ascaris lumbricoides","Parasitic roundworm","Asc l 3.0101","Worm (parasite)","Ascaris tropomyosin Asc l 3","287","224016002","10"
"Ascaris suum","Parasitic roundworm","Asc s 1","Worm (parasite)","Ascaris Asc s 1","68","299550","7"
"Ascaris suum","Parasitic roundworm","Asc s 1","Worm (parasite)","Ascaris Asc s 1","1365","77416849","7"
"Ascaris suum","Parasitic roundworm","Unassigned","Worm (parasite)","Ascaris Asc s 1","134","343197079","12"
